23/mar/18;GES;Rei dos livros;10;37,18;04/11/2018;26/04/2018;26/04/2018;30/04/2018;C;20183174;Contabilidade financeira;9ªed.;30/04/2018;;30/04/2018;30/04/2018;657 COS;30/04/2018;3;
23/mar/18;GES;Rei dos livros;10;38,18;04/11/2018;26/04/2018;26/04/2018;30/04/2018;C;20183175;Contabilidade financeira;9ªed.;30/04/2018;;30/04/2018;30/04/2018;657 COS;30/04/2018;3;
23/mar/18;GES;Rei dos livros;10;39,18;04/11/2018;26/04/2018;26/04/2018;30/04/2018;C;20183176;Contabilidade financeira;9ªed.;30/04/2018;;30/04/2018;30/04/2018;657 COS;30/04/2018;3;
20/abr/18;MEC;Pretexto;17;59,18;26/04/2018;27/04/2018;27/04/2018;03/05/2018;C;20183193;Apoio à decisão em manutenção na gestão de ativos físicos;2ª ed.;03/05/2018;;03/05/2018;03/05/2018;658.5 ASS;03/05/2018;5;
20/abr/18;MEC;Pretexto;17;60,18;26/04/2018;27/04/2018;27/04/2018;03/05/2018;C;20183194;Apoio à decisão em manutenção na gestão de ativos físicos;2ª ed;03/05/2018;;03/05/2018;03/05/2018;658.5 ASS;03/05/2018;5;
20/abr/18;MEC;Pretexto;17;61,18;26/04/2018;27/04/2018;27/04/2018;03/05/2018;C;20183198;Organização e gestão da manutenção;6ª ed;03/05/2018;;03/05/2018;03/05/2018;658.5 CAB;03/05/2018;5;
20/abr/18;MEC;Pretexto;17;62,18;26/04/2018;27/04/2018;27/04/2018;03/05/2018;C;20183199;Organização e gestão da manutenção;6ª ed;03/05/2018;;03/05/2018;03/05/2018;658.5 CAB;03/05/2018;5;
20/abr/18;MEC;Pretexto;17;67,18;26/04/2018;27/04/2018;27/04/2018;02/05/2018;C;20183180;Pensamento Lean;6ª ed;02/05/2018;;02/05/2018;02/05/2018;65 PIN;02/05/2018;4;
01/mar/18;GES;Livraria José Alves;14;47,18;17/04/2018;21/05/2018;22/05/2018;24/05/2018;C;20183252;Visual merchandising;2ª ed;24/05/2018;;24/05/2018;24/05/2018;659/.4 MOR;24/05/2018;4;
01/mar/18;MEC;Publindústria;15;48,18;17/04/2018;07/06/2018;08/06/2018;06/11/2018;C;20183418;Guia de aplicações de gestão de energia e eficiência energética;3ª ed.;12/06/2018;;12/06/2018;12/06/2018;620.9 SA;12/06/2018;4;
01/mar/18;GES;MARKA;12;42,18;17/04/2018;07/06/2018;08/06/2018;06/11/2018;C;20183413;Retail management;13ª ed.;12/06/2018;;11/06/2018;11/06/2018;658.86 BER;12/06/2018;4;
15/nov/17;GES;Marka;2;13,18;31/01/2018;11/06/2018;11/06/2018;12/06/2018;C;20183427;Digital marketing;6ª ed.;13/06/2018;;13/06/2018;13/06/2018;658.8 CHA;13/06/2018;3;
15/nov/17;GES;Marka;2;12,18;31/01/2018;12/06/2018;11/06/2018;12/06/2018;C;20183428;Digital marketing;6ª ed.;13/06/2018;;13/06/2018;13/06/2018;658.8 CHA;13/06/2018;2;
10/mai/18;GES;LEYA;18;77,18;16/05/2018;12/06/2018;12/06/2018;12/06/2018;C;20183425;Direito das sociedades comerciais;6ª ed.;12/06/2018;;06/12/2018;12/06/2018;347 CUN;12/06/2018;1;
10/mai/18;GES;LEYA;18;78,18;16/05/2018;12/06/2018;12/06/2018;12/06/2018;C;20183426;Direito das sociedades comerciais;6ª ed.;12/06/2018;;06/12/2018;12/06/2018;347 CUN;12/06/2018;1;
10/mai/18;GES;LEYA;18;79,18;16/05/2018;12/06/2018;13/06/2018;14/06/2018;C;20183430;Código da insolvência e da recuperação de empresas;7ª ed.;14/06/2018;;6/14/2018;6/14/2018;347 POR;14/06/2018;3;
10/mai/18;GES;LEYA;18;80,18;16/05/2018;12/06/2018;13/06/2018;14/06/2018;C;20183431;Código da insolvência e da recuperação de empresas;7ª ed.;14/06/2018;;6/14/2018;6/14/2018;347 POR;14/06/2018;3;
10/mai/18;GES;LEYA;18;81,18;16/05/2018;12/06/2018;13/06/2018;14/06/2018;C;20183432;Código da insolvência e da recuperação de empresas;7ª ed.;14/06/2018;;6/14/2018;6/14/2018;347 POR;14/06/2018;3;
10/mai/18;GES;LEYA;18;85,18;16/05/2018;12/06/2018;13/06/2018;14/06/2018;C;20183437;Código das sociedades comerciais;33ª ed.;19/06/2018;;19/06/2018;19/06/2018;347 POR;19/06/2018;6;
10/mai/18;GES;LEYA;18;88,18;16/05/2018;12/06/2018;13/06/2018;19/06/2018;C;20183441;Minutas e formulários;4ª ed.;20/06/2018;;20/06/2018;20/06/2018;34 ROC;20/06/2018;7;
10/mai/18;GES;LEYA;18;89,18;16/05/2018;12/06/2018;13/06/2018;19/06/2018;C;20183442;Minutas e formulários;4ª ed.;20/06/2018;;20/06/2018;20/06/2018;34 ROC;21/06/2018;8;
10/mai/18;GES;LEYA;18;93,18;16/05/2018;12/06/2018;13/06/2018;20/06/2018;C;20183448;Curso de direito comercial: Vol. II: Das sociedades;5ª ed.;20/06/2018;;20/06/2018;21/06/2018;347 ABR-5ªed.;21/06/2018;8;
10/mai/18;GES;LEYA;18;82,18;16/05/2018;12/06/2018;13/06/2018;20/06/2018;C;20183450;Direito comercial: Direito da empresa;13ª ed.;21/06/2018;;21/06/2018;21/06/2018;347 COR-13ªed;21/06/2018;8;
25/mai/18;AMB;Livraria José Alves;20;96,18;08/06/2018;20/07/2018;20/07/2018;20/07/2018;C;20183601;Handbook of applied hydrology;2ª ed.;20/07/2018;;20/07/2018;20/07/2018;556 HAN;20/07/2018;1;
25/mai/18;AMB;Livraria José Alves;20;95,18;08/06/2018;20/07/2018;20/07/2018;23/07/2018;C;20183604;Getting to know ArcGIS;4ª ed.;23/07/2018;;23/07/2018;23/07/2018;528 LAW-4ªed.;23/07/2018;2;
25/mai/18;AMB;Livraria José Alves;20;94,18;08/06/2018;20/07/2018;20/07/2018;23/07/2018;C;20183603;Environmental hydrology;3ª ed;23/07/2018;;23/07/2018;23/07/2018;556 ENV-3ªed.;23/07/2018;2;
01/mar/18;GES;Livraria José Alves;14;46,18;17/04/2018;20/07/2018;20/07/2018;20/07/2018;C;20183602;Visual merchandising;2ª ed.;20/07/2018;;07/20/2018;07/20/2018;659/.4 MOR;20/07/2018;1;
